"Nível","Cód.","Unidade da Federação","População Residente - 2019"
"MU","2104081","Fernando Falcão (MA)","10360"
"MU","2104099","Formosa da Serra Negra (MA)","19089"
"MU","2104107","Fortaleza dos Nogueiras (MA)","12631"
"MU","2104206","Fortuna (MA)","15552"
"MU","2104305","Godofredo Viana (MA)","11819"
"MU","2104404","Gonçalves Dias (MA)","17934"
"MU","2104503","Governador Archer (MA)","10840"
"MU","2104552","Governador Edison Lobão (MA)","18296"
"MU","2104602","Governador Eugênio Barros (MA)","16828"
"MU","2104628","Governador Luiz Rocha (MA)","7807"
"MU","2104651","Governador Newton Bello (MA)","10180"
"MU","2104677","Governador Nunes Freire (MA)","25577"
"MU","2104701","Graça Aranha (MA)","6262"
"MU","2104800","Grajaú (MA)","69527"
"MU","2104909","Guimarães (MA)","12030"
"MU","2105005","Humberto de Campos (MA)","28717"
"MU","2105104","Icatu (MA)","27113"
"MU","2105153","Igarapé do Meio (MA)","14177"
"MU","2105203","Igarapé Grande (MA)","11320"
"MU","2105302","Imperatriz (MA)","258682"
"MU","2105351","Itaipava do Grajaú (MA)","16057"
"MU","2105401","Itapecuru Mirim (MA)","68203"
"MU","2105427","Itinga do Maranhão (MA)","26000"
"MU","2105450","Jatobá (MA)","10153"
"MU","2105476","Jenipapo dos Vieiras (MA)","16515"
"MU","2105500","João Lisboa (MA)","23632"
"MU","2105609","Joselândia (MA)","16168"
"MU","2105658","Junco do Maranhão (MA)","3432"
"MU","2105708","Lago da Pedra (MA)","50266"
"MU","2105807","Lago do Junco (MA)","10840"
"MU","2105906","Lago Verde (MA)","16257"
"MU","2105922","Lagoa do Mato (MA)","11250"
"MU","2105948","Lago dos Rodrigues (MA)","8873"
"MU","2105963","Lagoa Grande do Maranhão (MA)","11394"
"MU","2105989","Lajeado Novo (MA)","7550"
